18 com.sl.db.DBContextServletListener contextInitialized 19:40:21,973 DEBUG DBContextServletListener:18 - ***************************************
19 com.sl.db.DBContextServletListener contextInitialized 19:40:21,978 DEBUG DBContextServletListener:19 - The context ROOT DBContextServletListener has been created now
65 com.sl.db.DataInsertAction containsKey 19:40:25,806 DEBUG DataInsertAction:65 - contains:devmode
34 com.opensymphony.xwork2.util.logging.commons.CommonsLogger error 19:40:25,823 ERROR CommonsLogger:34 - Developer Notification (set struts.devMode to false to disable this message):
Unexpected Exception caught setting 'entityName' on 'class com.sl.db.DataInsertAction: Error setting expression 'entityName' with value 'htmlTitle'
65 com.sl.db.DataInsertAction containsKey 19:40:25,825 DEBUG DataInsertAction:65 - contains:devmode
34 com.opensymphony.xwork2.util.logging.commons.CommonsLogger error 19:40:25,826 ERROR CommonsLogger:34 - Developer Notification (set struts.devMode to false to disable this message):
Unexpected Exception caught setting 'schema' on 'class com.sl.db.DataInsertAction: Error setting expression 'schema' with value '24hour'
18 com.sl.db.CachingHeadersInterceptor intercept 19:40:25,872 DEBUG CachingHeadersInterceptor:18 - CachingHeadersInterceptor intercept invocation called
22 com.sl.db.CachingHeadersInterceptor intercept 19:40:25,873 DEBUG CachingHeadersInterceptor:22 - Request getRequestURI:/db/24hour/htmlTitle/new
23 com.sl.db.CachingHeadersInterceptor intercept 19:40:25,874 DEBUG CachingHeadersInterceptor:23 - getContextPath():/db
24 com.sl.db.CachingHeadersInterceptor intercept 19:40:25,874 DEBUG CachingHeadersInterceptor:24 - getQueryString():null
25 com.sl.db.CachingHeadersInterceptor intercept 19:40:25,875 DEBUG CachingHeadersInterceptor:25 - getRequestURL:http://localhost:8080/db/24hour/htmlTitle/new
26 com.sl.db.CachingHeadersInterceptor intercept 19:40:25,876 DEBUG CachingHeadersInterceptor:26 - getPathInfo:null
27 com.sl.db.CachingHeadersInterceptor intercept 19:40:25,876 DEBUG CachingHeadersInterceptor:27 - getServletPath:/24hour/htmlTitle/new
28 com.sl.db.CachingHeadersInterceptor intercept 19:40:25,877 DEBUG CachingHeadersInterceptor:28 - getCharacterEncoding:UTF-8
29 com.sl.db.CachingHeadersInterceptor intercept 19:40:25,877 DEBUG CachingHeadersInterceptor:29 - User-Agent:Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0
